"GeneSymbol","logFC","adj.P.Val","P.Value","Degree","Betweenness","Closeness","Centrality_Rank","Louvain_Module","Module_Size","Rank","Score","MCC_Hub","Is_MCC_Hub","Top_Centrality","Major_Module","Strong_DEG","Priority_Score","Direction","Validation_logFC","Direction_consistency","Validated_in_GSE19435"
"EPHB6",1.90215148825616,0.00106420437520877,3.81915779038949e-05,0,0,NA,869,371,1,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",17.9312318571429,"Consistent","Yes"
"BANK1",1.31268008078079,0.00108402819363967,3.90636655072878e-05,1,0,0.220611894545588,417,6,101,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
"IDUA",1.74401762013547,0.00111275791308999,4.02874389994682e-05,0,0,NA,681,183,1,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",NA,NA,"No"
"LILRB2",-1.2502420894803,0.00114570916804466,4.18928189793383e-05,5,93,0.301937144333866,186,6,101,NA,NA,NA,0,0,1,0,1,"Down_in_ATB12m",NA,NA,"No"
"TMT1B",-1.88090740408867,0.00117369712582833,4.31149989056371e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,"Down_in_ATB12m",NA,NA,"No"
"KLHL3",1.79382715164778,0.00119669125098856,4.41877059923365e-05,0,0,NA,588,90,1,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",40.8222771428571,"Consistent","Yes"
"RAB20",-1.93398923124138,0.00126795743733274,4.76913735688366e-05,0,0,NA,846,348,1,NA,NA,NA,0,0,0,1,1,"Down_in_ATB12m",-58.38652,"Consistent","Yes"
"ACBD6",1.54972161545443,0.00127569903001971,4.80408693077092e-05,0,0,NA,824,326,1,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",10.6739448571429,"Consistent","Yes"
"GEMIN2",1.49047148493842,0.00132110068985145,5.04472393496885e-05,1,0,0.165142523767182,454,4,59,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
"TSPAN2",1.60732191222906,0.00135349214103388,5.20249334496913e-05,0,0,NA,766,268,1,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",NA,NA,"No"
"ELF2",-1.55378186076355,0.00139620733098386,5.45405036028291e-05,0,0,NA,972,474,1,NA,NA,NA,0,0,0,1,1,"Down_in_ATB12m",NA,NA,"No"
"CD69",1.11240400278079,0.00140007154786569,5.48384201636368e-05,20,819,0.325970759426462,32,6,101,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
"ZFP82",1.88305851021921,0.00148361731669012,5.8953443183684e-05,0,0,NA,865,367,1,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",NA,NA,"No"
"LINC00926",1.83351348855665,0.00148759016366357,5.91495908907325e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",NA,NA,"No"
"SDHAF1",1.51554627221429,0.0015003309323519,5.98201177995196e-05,1,0,1.3531799729364,520,41,2,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",NA,NA,"No"
"LAG3",1.28850900824507,0.0015003309323519,5.98467844540867e-05,15,213,0.317882486201957,63,6,101,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
"PKD2",1.68448794615271,0.00150449084402196,6.00764271733696e-05,4,11,0.849377123442809,220,15,7,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",19.3548285714286,"Consistent","Yes"
"FRA10AC1",1.55728913468227,0.00161077227760177,6.48319557011489e-05,0,0,NA,631,133,1,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",NA,NA,"No"
"ADGRE4P",1.82732977932266,0.00163741258109163,6.62508827351971e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",NA,NA,"No"
"SLC25A29",1.64176037530049,0.00167921241719398,6.8473149740611e-05,0,0,NA,686,188,1,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",NA,NA,"No"
"DNAAF10",1.57199841721921,0.00173438163507851,7.14548024634504e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",NA,NA,"No"
"ORC4",-1.13792490933621,0.00176593081415581,7.29837807633154e-05,2,0,0.26468985342077,357,10,49,NA,NA,NA,0,0,1,0,1,"Down_in_ATB12m",NA,NA,"No"
"TMEM156",1.84369086029557,0.00178571086067387,7.4217154400771e-05,0,0,NA,627,129,1,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",92.7858714285714,"Consistent","Yes"
"SIGLEC17P",1.70497393474877,0.00179766177039972,7.49440582243368e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",11.8029028571429,"Consistent","Yes"
"STRBP",1.79864175317241,0.00179933097334005,7.51260968310344e-05,1,0,0.847098686997035,434,2,3,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",NA,NA,"No"
"ENTR1",1.5270004740702,0.00183464652505329,7.69890413638421e-05,0,0,NA,900,402,1,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",80.4849514285714,"Consistent","Yes"
"TBRG4",1.80798712508374,0.00185584967766236,7.81940708697521e-05,0,0,NA,607,109,1,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",47.4661528571429,"Consistent","Yes"
"INSL3",-1.77871050270936,0.00186074742931251,7.85247295023441e-05,0,0,NA,698,200,1,NA,NA,NA,0,0,0,1,1,"Down_in_ATB12m",NA,NA,"No"
"PEAK3",-1.56510273707266,0.00211349379469543,9.18676877582462e-05,0,0,NA,1009,511,1,NA,NA,NA,0,0,0,1,1,"Down_in_ATB12m",NA,NA,"No"
"PDGFD",1.24964398048768,0.00214288039343813,9.33718923947336e-05,4,0,0.294379851563138,231,3,67,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
"CRACDL",1.69406385435714,0.00216729766265449,9.49368377065541e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",21.6122442857143,"Consistent","Yes"
"MVB12B",1.53204051178571,0.00225946485958368,0.000100126187273372,0,0,NA,847,349,1,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",NA,NA,"No"
"AQP10",-1.83953968842365,0.00227028193084956,0.000100876015085368,1,0,1.06044538706257,478,33,2,NA,NA,NA,0,0,0,1,1,"Down_in_ATB12m",NA,NA,"No"
"LILRA6",-1.6351613980665,0.00243368996552365,0.000109856386832725,0,0,NA,724,226,1,NA,NA,NA,0,0,0,1,1,"Down_in_ATB12m",NA,NA,"No"
"OXCT1",1.37165983780049,0.00244027753493564,0.000110360416138183,1,0,0.163960659465524,384,4,59,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",10.6140688571429,"Consistent","Yes"
"MMRN1",-1.84153614675123,0.00253037019444414,0.00011633474417112,0,0,NA,970,472,1,NA,NA,NA,0,0,0,1,1,"Down_in_ATB12m",NA,NA,"No"
"TMEM158",-1.52136555826108,0.00264408790828565,0.000122992550115466,0,0,NA,642,144,1,NA,NA,NA,0,0,0,1,1,"Down_in_ATB12m",NA,NA,"No"
"SPIN4",1.55267486838301,0.00266213229804744,0.000124282816734657,0,0,NA,965,467,1,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",NA,NA,"No"
"PLCD1",1.31548804104803,0.0027852114482825,0.000131444100658925,2,0,0.243100690926134,345,3,67,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
"MAGEA8",-1.56007870720443,0.00281395847778688,0.000133277404984211,0,0,NA,805,307,1,NA,NA,NA,0,0,0,1,1,"Down_in_ATB12m",NA,NA,"No"
"ENDOG",1.59186092360345,0.00282300027226894,0.0001338251912856,2,858,0.262470951972974,295,17,23,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",NA,NA,"No"
"CCT4",1.49622249253695,0.00282300027226894,0.00013380001563339,2,1170,0.260000953715288,290,4,59,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",9.821054,"Consistent","Yes"
"ST8SIA1",1.7400183192734,0.00284887063536363,0.000135292855013034,0,0,NA,906,408,1,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",NA,NA,"No"
"RYR1",1.48156899204433,0.00287413169644511,0.000137040176587292,3,753,0.207326971382993,252,7,31,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",6.91445222857143,"Consistent","Yes"
"MEI1",1.53910207127094,0.00291614500129138,0.000139784300203758,1,0,1.40449438202247,504,37,2,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",NA,NA,"No"
"FCAMR",-1.46822290782389,0.0030632024739762,0.000148515728047634,1,0,0.223149793440273,473,6,101,NA,NA,NA,0,0,1,0,1,"Down_in_ATB12m",NA,NA,"No"
"HSPB1",-1.28708157620197,0.00308617256447792,0.000150148139576949,4,497,0.286673739621378,209,7,31,NA,NA,NA,0,0,1,0,1,"Down_in_ATB12m",NA,NA,"No"
"NT5E",1.7662320376133,0.00320503116512047,0.000157432031993383,6,5576,0.317553204028627,150,17,23,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",NA,NA,"No"
"CAMP",-1.11203063808374,0.00325074470269659,0.000160296932366038,6,679,0.315152649484195,155,3,67,NA,NA,NA,0,0,1,0,1,"Down_in_ATB12m",NA,NA,"No"
"SELP",-1.41875371018473,0.00328343498300144,0.00016267362241374,6,97,0.270142420499681,162,7,31,NA,NA,NA,0,0,1,0,1,"Down_in_ATB12m",NA,NA,"No"
"GAR1",1.07606897335591,0.00332678021517845,0.000165243725197617,5,1911,0.226606805526831,169,4,59,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
"BMS1",1.22217850761699,0.00336499324577316,0.00016749802292589,17,316,0.252053992386649,52,4,59,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",46.2343357142857,"Consistent","Yes"
"VENTX",1.45873799648276,0.00337037506179317,0.000167908630357167,1,0,0.182844112219975,510,10,49,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
