"Gene","GeneSymbol","EntrezID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_2251664","SLC66A1",54896,-0.675289931817734,-0.258799738087719,-1.57327531533915,0.121137716838059,0.415743084900372,-5.29293115611468
"ILMN_1697289","ZNF713",349075,-0.660144630320197,-0.030008343245614,-1.57332371213701,0.12112651045518,0.415743084900372,-5.29285860744273
"ILMN_1696183","HBQ1",3049,-0.258155166667488,0.00260956101754386,-1.57305543617395,0.121188640814228,0.415827148150876,-5.29326073775741
"ILMN_2166582","CAMK4",814,-0.566220006144088,0.622522188947368,-1.57288375000711,0.121228415247325,0.415917466541748,-5.29351805254633
"ILMN_1759341","MAN2B1",4125,0.20444552737931,-0.0610267494912281,1.57286579596324,0.12123257525524,0.415917466541748,-5.29354495969964
"ILMN_1803968","SSBP3",23648,-0.337785404955665,-0.0357645416315789,-1.57225999751813,0.121373007820144,0.416278304578697,-5.29445268568011
"ILMN_2383300","PTPRU",10076,0.611264346637931,-0.40935395122807,1.57195508578865,0.121443740011369,0.416438195285923,-5.29490944305885
"ILMN_1801748","OR2S2",56656,-0.609533697795567,0.352724240350877,-1.57192862047266,0.121449880888505,0.416438195285923,-5.29494908424196
"ILMN_3207406","CHORDC1P4",727896,-0.540933817447045,0.690641040754386,-1.57190701248934,0.12145489487971,0.416438195285923,-5.29498144939602
"ILMN_1701006","HEXIM2",124790,0.459540577896552,-0.276998767350877,1.57201234505048,0.121430454716717,0.416438195285923,-5.29482367494491
"ILMN_1681223","CACNA1D",776,-0.55108174096798,-0.0502534717719298,-1.57172670974616,0.121496739429105,0.416502638930211,-5.29525149694114
"ILMN_1767857","TCP10L2",401285,-0.539004890081281,-0.456644041754386,-1.57089660792768,0.12168953822197,0.416970297429037,-5.29649441188803
"ILMN_3227440","LINC01630",100287225,0.634724077238916,0.021601525754386,1.5707092781787,0.121733081215683,0.417003698586212,-5.29677481834306
"ILMN_1689852","PAQR6",79957,-0.598126374482758,0.699445780175439,-1.57055084045896,0.121769918293092,0.417003698586212,-5.29701195356187
"ILMN_1756038","OR4B1",119765,-0.582383657231527,-0.0787177164736842,-1.57061727997875,0.121754469887008,0.417003698586212,-5.29691251557777
"ILMN_1743767","ZNF446",55663,0.362869835683497,-0.237148668245614,1.57072043668882,0.121730487177498,0.417003698586212,-5.29675811647063
"ILMN_2078659","DHFR2",200895,0.304464558524631,0.153646622789474,1.57048886579121,0.121784329956935,0.417022815065324,-5.29710470566637
"ILMN_1808457","TBX18",9096,-0.659585202923645,-0.484733239789474,-1.57035010858408,0.121816601686995,0.417072846268825,-5.29731235937617
"ILMN_1700584","IER2",9592,-0.179114434649015,0.117000191245614,-1.57037947422984,0.12180977134192,0.417072846268825,-5.29726841433803
"ILMN_1788184","CIDEA",1149,-0.598809985783251,-0.475411078350877,-1.57022141778994,0.121846538333577,0.417114869321822,-5.29750493342114
