"ProbeID","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","EntrezID"
"ILMN_1733615",63.5898614285714,119.243597857143,9.00109587918374,6.05586024616342e-07,0.00140923136990448,3.3630249820568,"MTF2","22823"
"ILMN_1706117",-1564.77,4463.157,-8.66239590892882,9.32503496913433e-07,0.00142215525499582,3.1716519644642,"RPS15A","6210"
"ILMN_1697639",781.109442857143,1290.13956428571,8.66268730615762,9.32152325352551e-07,0.00142215525499582,3.17182208587913,"OGT","8473"
"ILMN_1736700",-346.767757142857,696.700678571429,-8.68952418480912,9.00406425227349e-07,0.00142215525499582,3.18744849392302,"ALDOA","226"
"ILMN_1651405",151.832214285714,268.659992857143,8.79283924407777,7.88535296330268e-07,0.00142215525499582,3.24685011554309,"BRD9","65980"
"ILMN_2152402",-110.976085714286,257.178757142857,-8.85566893799861,7.27820216660657e-07,0.00142215525499582,3.28239533018581,"ABHD16A","7920"
"ILMN_1683096",61.5389042857143,81.6170407142857,8.81381914678246,7.67682340786667e-07,0.00142215525499582,3.25876755423648,"ASB1","51665"
"ILMN_2400183",22.8553114285714,48.0583328571429,8.83754913410713,7.44801833446745e-07,0.00142215525499582,3.27218872969736,"DPH5","51611"
"ILMN_2335704",-684.889628571429,803.214414285714,-8.47515760354106,1.19012918495003e-06,0.0014520468653279,3.06031807332453,"NCF4","4689"
"ILMN_1742224",154.260028571429,355.4732,8.60478588571853,1.00477725300364e-06,0.0014520468653279,3.13782814370447,"SLTM","79811"
"ILMN_1736340",132.036185714286,301.49895,8.50359755990967,1.14655319482563e-06,0.0014520468653279,3.07749167494584,"ANGEL2","90806"
"ILMN_1677239",109.448895714286,133.767395,8.47648834694522,1.18805137631623e-06,0.0014520468653279,3.06112377589315,"CCDC14","64770"
"ILMN_1812559",93.2757528571428,104.312780714286,8.51670198190131,1.12704898086458e-06,0.0014520468653279,3.08537283295782,"SLC7A6","9057"
"ILMN_1669177",-42.31967,55.6239964285714,-8.50919493856922,1.1381786275557e-06,0.0014520468653279,3.08086047103336,"DHRS12","79758"
"ILMN_2215862",35.8256828571428,36.9372728571429,8.56062218217215,1.06421396150487e-06,0.0014520468653279,3.11164057772712,"SLFN13","146857"
"ILMN_1765021",64.1562471428572,110.831747857143,8.42540363677393,1.27065816308551e-06,0.00151248610568444,3.03004373430293,"TOP3B","8940"
